"Step","Edited GRU books 1024 - batch_loss","Edited GRU books 1024 - batch_loss__MIN","Edited GRU books 1024 - batch_loss__MAX","Original GRU books 1024 - batch_loss","Original GRU books 1024 - batch_loss__MIN","Original GRU books 1024 - batch_loss__MAX","Edited GRU books 512 - batch_loss","Edited GRU books 512 - batch_loss__MIN","Edited GRU books 512 - batch_loss__MAX","Original GRU books 512 - batch_loss","Original GRU books 512 - batch_loss__MIN","Original GRU books 512 - batch_loss__MAX","Edited GRU books 256 - batch_loss","Edited GRU books 256 - batch_loss__MIN","Edited GRU books 256 - batch_loss__MAX","Original GRU books 256 - batch_loss","Original GRU books 256 - batch_loss__MIN","Original GRU books 256 - batch_loss__MAX"
"318","131.23958232998848","131.23958232998848","131.23958232998848","119.95183798670769","119.95183798670769","119.95183798670769","125.95115160942078","125.95115160942078","125.95115160942078","125.75231662392616","125.75231662392616","125.75231662392616","124.58116337656975","124.58116337656975","124.58116337656975","128.08444780111313","128.08444780111313","128.08444780111313"
"637","128.30111834406853","128.30111834406853","128.30111834406853","98.90246975421906","98.90246975421906","98.90246975421906","114.88344782590866","114.88344782590866","114.88344782590866","109.83195894956589","109.83195894956589","109.83195894956589","112.31388676166534","112.31388676166534","112.31388676166534","120.76036766171455","120.76036766171455","120.76036766171455"
"956","126.92251873016357","126.92251873016357","126.92251873016357","85.94585710763931","85.94585710763931","85.94585710763931","98.54226472973824","98.54226472973824","98.54226472973824","93.81570196151733","93.81570196151733","93.81570196151733","97.10783845186234","97.10783845186234","97.10783845186234","107.54158926010132","107.54158926010132","107.54158926010132"
"1275","125.82063442468643","125.82063442468643","125.82063442468643","72.96059529483318","72.96059529483318","72.96059529483318","82.8022126108408","82.8022126108408","82.8022126108408","76.54381097853184","76.54381097853184","76.54381097853184","83.40613476932049","83.40613476932049","83.40613476932049","97.09360614418983","97.09360614418983","97.09360614418983"
"1594","119.33038079738617","119.33038079738617","119.33038079738617","61.30835136026144","61.30835136026144","61.30835136026144","68.36676333844662","68.36676333844662","68.36676333844662","58.96046803146601","58.96046803146601","58.96046803146601","72.30893017351627","72.30893017351627","72.30893017351627","85.704161927104","85.704161927104","85.704161927104"
"1913","97.70310789346695","97.70310789346695","97.70310789346695","52.589785665273666","52.589785665273666","52.589785665273666","56.9609575048089","56.9609575048089","56.9609575048089","49.58128969371319","49.58128969371319","49.58128969371319","62.969881780445576","62.969881780445576","62.969881780445576","74.33274982869625","74.33274982869625","74.33274982869625"
"2232","83.24348995089531","83.24348995089531","83.24348995089531","47.06358489766717","47.06358489766717","47.06358489766717","50.31836199015379","50.31836199015379","50.31836199015379","46.20533160120249","46.20533160120249","46.20533160120249","56.80891362577677","56.80891362577677","56.80891362577677","63.737223997712135","63.737223997712135","63.737223997712135"
"2551","72.65198354423046","72.65198354423046","72.65198354423046","45.726911123842","45.726911123842","45.726911123842","48.56045528128743","48.56045528128743","48.56045528128743","44.6756213568151","44.6756213568151","44.6756213568151","51.25305446237326","51.25305446237326","51.25305446237326","55.837316408753395","55.837316408753395","55.837316408753395"
"2870","64.04979407787323","64.04979407787323","64.04979407787323","43.39032756537199","43.39032756537199","43.39032756537199","44.47577041387558","44.47577041387558","44.47577041387558","42.48760960623622","42.48760960623622","42.48760960623622","49.281104408204556","49.281104408204556","49.281104408204556","50.75111918896437","50.75111918896437","50.75111918896437"
"3189","56.982086919248104","56.982086919248104","56.982086919248104","43.41641978174448","43.41641978174448","43.41641978174448","44.055845241993666","44.055845241993666","44.055845241993666","41.67201642692089","41.67201642692089","41.67201642692089","47.384840339422226","47.384840339422226","47.384840339422226","47.73330553621054","47.73330553621054","47.73330553621054"
