"Step","Edited GRU languages 1024 - batch_loss","Edited GRU languages 1024 - batch_loss__MIN","Edited GRU languages 1024 - batch_loss__MAX","Original GRU languages 1024 - batch_loss","Original GRU languages 1024 - batch_loss__MIN","Original GRU languages 1024 - batch_loss__MAX","Edited GRU languages 512 - batch_loss","Edited GRU languages 512 - batch_loss__MIN","Edited GRU languages 512 - batch_loss__MAX","Original GRU languages 512 - batch_loss","Original GRU languages 512 - batch_loss__MIN","Original GRU languages 512 - batch_loss__MAX","Edited GRU languages 256 - batch_loss","Edited GRU languages 256 - batch_loss__MIN","Edited GRU languages 256 - batch_loss__MAX","Original GRU languages 256 - batch_loss","Original GRU languages 256 - batch_loss__MIN","Original GRU languages 256 - batch_loss__MAX"
"23","10.198101371526718","10.198101371526718","10.198101371526718","10.03477057814598","10.03477057814598","10.03477057814598","10.059044152498245","10.059044152498245","10.059044152498245","10.26003447175026","10.26003447175026","10.26003447175026","10.294462442398071","10.294462442398071","10.294462442398071","10.875145852565765","10.875145852565765","10.875145852565765"
"47","9.608128666877747","9.608128666877747","9.608128666877747","9.364137709140778","9.364137709140778","9.364137709140778","9.428907632827759","9.428907632827759","9.428907632827759","9.32101246714592","9.32101246714592","9.32101246714592","9.31895500421524","9.31895500421524","9.31895500421524","9.305177927017212","9.305177927017212","9.305177927017212"
"71","9.551537573337555","9.551537573337555","9.551537573337555","9.243457674980164","9.243457674980164","9.243457674980164","9.355810791254044","9.355810791254044","9.355810791254044","9.164372980594635","9.164372980594635","9.164372980594635","9.171810269355774","9.171810269355774","9.171810269355774","9.12086695432663","9.12086695432663","9.12086695432663"
"95","9.539407223463058","9.539407223463058","9.539407223463058","8.91977310180664","8.91977310180664","8.91977310180664","9.232376724481583","9.232376724481583","9.232376724481583","8.938069462776184","8.938069462776184","8.938069462776184","9.199419677257538","9.199419677257538","9.199419677257538","8.971854418516159","8.971854418516159","8.971854418516159"
"119","9.52668246626854","9.52668246626854","9.52668246626854","8.692842185497284","8.692842185497284","8.692842185497284","9.28493669629097","9.28493669629097","9.28493669629097","8.784125357866287","8.784125357866287","8.784125357866287","9.17090356349945","9.17090356349945","9.17090356349945","8.878885596990585","8.878885596990585","8.878885596990585"
"143","9.422832071781158","9.422832071781158","9.422832071781158","8.49635848402977","8.49635848402977","8.49635848402977","9.263889819383621","9.263889819383621","9.263889819383621","8.77991908788681","8.77991908788681","8.77991908788681","9.065204620361328","9.065204620361328","9.065204620361328","8.771106153726578","8.771106153726578","8.771106153726578"
"167","9.422914147377014","9.422914147377014","9.422914147377014","8.30595937371254","8.30595937371254","8.30595937371254","9.234414845705032","9.234414845705032","9.234414845705032","8.76984441280365","8.76984441280365","8.76984441280365","8.933207541704178","8.933207541704178","8.933207541704178","8.703849375247955","8.703849375247955","8.703849375247955"
"191","9.390965074300766","9.390965074300766","9.390965074300766","8.106044441461563","8.106044441461563","8.106044441461563","9.156828492879868","9.156828492879868","9.156828492879868","8.62109050154686","8.62109050154686","8.62109050154686","8.794267416000366","8.794267416000366","8.794267416000366","8.595463901758194","8.595463901758194","8.595463901758194"
"215","9.30080446600914","9.30080446600914","9.30080446600914","8.026311099529266","8.026311099529266","8.026311099529266","9.119651883840561","9.119651883840561","9.119651883840561","8.38197237253189","8.38197237253189","8.38197237253189","8.669605731964111","8.669605731964111","8.669605731964111","8.45532050728798","8.45532050728798","8.45532050728798"
"239","9.30524668097496","9.30524668097496","9.30524668097496","7.89730104804039","7.89730104804039","7.89730104804039","9.045345395803452","9.045345395803452","9.045345395803452","8.182467311620712","8.182467311620712","8.182467311620712","8.484018445014954","8.484018445014954","8.484018445014954","8.322654157876968","8.322654157876968","8.322654157876968"
"263","9.307346522808075","9.307346522808075","9.307346522808075","7.7657617926597595","7.7657617926597595","7.7657617926597595","8.797167658805847","8.797167658805847","8.797167658805847","8.030865013599396","8.030865013599396","8.030865013599396","8.257695257663727","8.257695257663727","8.257695257663727","8.204347759485245","8.204347759485245","8.204347759485245"
"287","9.30473130941391","9.30473130941391","9.30473130941391","7.648594260215759","7.648594260215759","7.648594260215759","8.617522865533829","8.617522865533829","8.617522865533829","7.9151411056518555","7.9151411056518555","7.9151411056518555","8.12565553188324","8.12565553188324","8.12565553188324","8.072084218263626","8.072084218263626","8.072084218263626"
"311","9.231529593467712","9.231529593467712","9.231529593467712","7.513196289539337","7.513196289539337","7.513196289539337","8.510486036539078","8.510486036539078","8.510486036539078","7.679937422275543","7.679937422275543","7.679937422275543","7.967784583568573","7.967784583568573","7.967784583568573","7.927928060293198","7.927928060293198","7.927928060293198"
"335","9.1717968583107","9.1717968583107","9.1717968583107","7.382308185100555","7.382308185100555","7.382308185100555","8.320174783468246","8.320174783468246","8.320174783468246","7.642647236585617","7.642647236585617","7.642647236585617","7.766353785991669","7.766353785991669","7.766353785991669","7.7207735776901245","7.7207735776901245","7.7207735776901245"
"359","9.091869533061981","9.091869533061981","9.091869533061981","7.313566744327545","7.313566744327545","7.313566744327545","8.050466775894165","8.050466775894165","8.050466775894165","7.480104833841324","7.480104833841324","7.480104833841324","7.611416935920715","7.611416935920715","7.611416935920715","7.653083324432373","7.653083324432373","7.653083324432373"
"383","9.07686498761177","9.07686498761177","9.07686498761177","7.166818171739578","7.166818171739578","7.166818171739578","7.864818304777145","7.864818304777145","7.864818304777145","7.300989896059036","7.300989896059036","7.300989896059036","7.484853744506836","7.484853744506836","7.484853744506836","7.524351239204407","7.524351239204407","7.524351239204407"
"407","9.018110394477844","9.018110394477844","9.018110394477844","6.9615373611450195","6.9615373611450195","6.9615373611450195","7.5827151238918304","7.5827151238918304","7.5827151238918304","7.224991619586945","7.224991619586945","7.224991619586945","7.313249856233597","7.313249856233597","7.313249856233597","7.370032221078873","7.370032221078873","7.370032221078873"
"431","8.97406142950058","8.97406142950058","8.97406142950058","6.887533068656921","6.887533068656921","6.887533068656921","7.3470523953437805","7.3470523953437805","7.3470523953437805","6.992615222930908","6.992615222930908","6.992615222930908","7.108955383300781","7.108955383300781","7.108955383300781","7.255914211273193","7.255914211273193","7.255914211273193"
"455","8.926658511161804","8.926658511161804","8.926658511161804","6.882223606109619","6.882223606109619","6.882223606109619","7.148701637983322","7.148701637983322","7.148701637983322","6.958597540855408","6.958597540855408","6.958597540855408","6.906378775835037","6.906378775835037","6.906378775835037","7.151458889245987","7.151458889245987","7.151458889245987"
"479","8.877088844776154","8.877088844776154","8.877088844776154","6.734908908605576","6.734908908605576","6.734908908605576","6.944093942642212","6.944093942642212","6.944093942642212","6.809806138277054","6.809806138277054","6.809806138277054","6.8291632533073425","6.8291632533073425","6.8291632533073425","7.031236410140991","7.031236410140991","7.031236410140991"
