"Step","edited_3_scripts_200 - train_loss","edited_3_scripts_200 - train_loss__MIN","edited_3_scripts_200 - train_loss__MAX","normal_scripts_200 - train_loss","normal_scripts_200 - train_loss__MIN","normal_scripts_200 - train_loss__MAX"
"1","12.118685264587402","12.118685264587402","12.118685264587402","9.567166481018067","9.567166481018067","9.567166481018067"
"4","9.614477787017822","9.614477787017822","9.614477787017822","8.382363090515137","8.382363090515137","8.382363090515137"
"7","8.672417373657227","8.672417373657227","8.672417373657227","7.908418636322022","7.908418636322022","7.908418636322022"
"10","8.111871871948242","8.111871871948242","8.111871871948242","7.620339584350586","7.620339584350586","7.620339584350586"
"13","7.89559009552002","7.89559009552002","7.89559009552002","7.45509443283081","7.45509443283081","7.45509443283081"
"16","7.772731781005859","7.772731781005859","7.772731781005859","7.369219245910645","7.369219245910645","7.369219245910645"
"19","7.4651859092712405","7.4651859092712405","7.4651859092712405","7.306549243927002","7.306549243927002","7.306549243927002"
"22","7.293950996398926","7.293950996398926","7.293950996398926","7.2288409614562985","7.2288409614562985","7.2288409614562985"
"25","7.330845756530762","7.330845756530762","7.330845756530762","7.233997955322265","7.233997955322265","7.233997955322265"
"28","7.204713821411133","7.204713821411133","7.204713821411133","7.177462368011475","7.177462368011475","7.177462368011475"
"31","7.0484599685668945","7.0484599685668945","7.0484599685668945","7.136749382019043","7.136749382019043","7.136749382019043"
"34","6.883184967041015","6.883184967041015","6.883184967041015","7.0982404136657715","7.0982404136657715","7.0982404136657715"
"37","6.751016159057617","6.751016159057617","6.751016159057617","7.0915814399719235","7.0915814399719235","7.0915814399719235"
"40","6.601254863739014","6.601254863739014","6.601254863739014","7.079358978271484","7.079358978271484","7.079358978271484"
"43","6.479590854644775","6.479590854644775","6.479590854644775","7.065049610137939","7.065049610137939","7.065049610137939"
"46","6.36099157333374","6.36099157333374","6.36099157333374","7.0419384765625","7.0419384765625","7.0419384765625"
"49","6.240107898712158","6.240107898712158","6.240107898712158","6.926119537353515","6.926119537353515","6.926119537353515"
"52","6.1217334175109865","6.1217334175109865","6.1217334175109865","6.75971155166626","6.75971155166626","6.75971155166626"
"55","6.024035091400147","6.024035091400147","6.024035091400147","6.637708225250244","6.637708225250244","6.637708225250244"
"58","5.924226493835449","5.924226493835449","5.924226493835449","6.520880832672119","6.520880832672119","6.520880832672119"
